Number,texte
303,Hubble Telescope Achievements Identify positive accomplishments of the Hubble telescope since it was launched in 1991
307,New Hydroelectric Projects Identify hydroelectric projects proposed or under construction by country and location Detailed description of nature extent purpose problems and consequences is desirable
310,Radio Waves and Brain Cancer Evidence that radio waves from radio towers or car phones affect brain cancer occurrence
314,Marine Vegetation Commercial harvesting of marine vegetation such as algae seaweed and kelp for food and drug purposes
322,International Art Crime Isolate instances of fraud or embezzlement in the international art trade
325,Cult Lifestyles Describe a cult by name and identify the cult members activities in their everyday life
330,Iran Iraq Cooperation This query is looking for examples of cooperation or friendly ties between Iran and Iraq or ways in which the two countries could be considered allies
336,Black Bear Attacks A relevant document would discuss the frequency of vicious black bear attacks worldwide and the possible causes for this savage behavior
341,Airport Security A relevant document would discuss how effective government orders to better scrutinize passengers and luggage on international flights and to step up screening of all carryon baggage has been
344,Abuses of EMail The availability of Email to many people through their job or school affiliation has allowed for many efficiencies in communications but also has provided the opportunity for abuses What steps have been taken worldwide by those bearing the cost of Email to prevent excesses
345,Overseas Tobacco Sales Health studies primarily in the US have caused reductions in tobacco sales here but the economic impact has caused US tobacco companies to look overseas for customers What impact have the health and economic factors had overseas
347,Wildlife Extinction The spotted owl episode in America highlighted US efforts to prevent the extinction of wildlife species What is not well known is the effort of other countries to prevent the demise of species native to their countries What other countries have begun efforts to prevent such declines
353,Antarctica exploration Identify systematic explorations and scientific investigations of Antarctica current or planned
354,journalist risks Identify instances where a journalist has been put at risk eg killed arrested or taken hostage in the performance of his work
362,human smuggling Identify incidents of human smuggling
363,transportation tunnel disasters What disasters have occurred in tunnels used for transportation
367,piracy What modern instances have there been of old fashioned piracy the boarding or taking control of boats
372,Native American casino Identify documents that discuss the growth of Native American casino gambling
374,Nobel prize winners Identify and provide background information on Nobel prize winners
375,hydrogen energy What is the status of research on hydrogen as a feasible energy source
378,euro opposition Identify documents that discuss opposition to the introduction of the euro the European currency
383,mental illness drugs Identify drugs used in the treatment of mental illness
389,illegal technology transfer What specific entities have been accused of illegal technology transfer such as selling their products formulas etc directly or indirectly to foreign entities for other than peaceful purposes
393,mercy killing Identify documents that discuss mercy killings
394,home schooling Identify documents that discuss the education of children at home home schooling
397,automobile recalls Identify documents that discuss the reasons for automobile recalls
399,oceanographic vessels Identify documents that discuss the activities or equipment of oceanographic vessels
401,foreign minorities Germany What language and cultural differences impede the integration of foreign minorities in Germany
404,Ireland peace talks How often were the peace talks in Ireland delayed or disrupted as a result of acts of violence
408,tropical storms What tropical storms hurricanes and typhoons have caused significant property damage and loss of life
409,legal Pan Am 103 What legal actions have resulted from the destruction of Pan Am Flight 103 over Lockerbie Scotland on December 21 1988
416,Three Gorges Project What is the status of The Three Gorges Project
419,recycle automobile tires What new uses have been developed for old automobile tires as a means of tire recycling
426,law enforcement dogs Provide information on the use of dogs worldwide for law enforcement purposes
427,UV damage eyes Find documents that discuss the damage ultraviolet UV light from the sun can do to eyes
433,Greek philosophy stoicism Is there contemporary interest in the Greek philosophy of stoicism
435,curbing population growth What measures have been taken worldwide and what countries have been effective in curbing population growth
436,railway accidents What are the causes of railway accidents throughout the world
439,inventions scientific discoveries What new inventions or scientific discoveries have been made
443,US investment Africa What is the extent of US government and private investment in subSaharan Africa
448,ship losses Identify instances in which weather was a main or contributing factor in the loss of a ship at sea
622,price fixing Identify companies or corporations that have been accused or indicted of price fixing including the product or type of product involved
625,arrests bombing WTC Identify documents that provide information on the arrest andor conviction of the bombers of the World Trade Center WTC in February 1993
638,wrongful convictions Find documents that discuss freed prisoners who have been wrongfully convicted based on faulty forensic evidence poor police work or false testimony
639,consumer online shopping What factors contributed to the growth of consumer online shopping
648,family leave law Identify documents that discuss details of a family leave law such as how long compensation if any for what reason allowed etc
650,tax evasion indicted Identify individuals or corporations that have been indicted on charges of tax evasion of more than two million dollars in the US or UK
